user_id,age,income,employment_status,education_level,region,number_of_active_loans,apps_installed,loan_frequency_last_30_days,repayment_ratio_overall,credit_limit_utilization,device_or_ID_shared,loan_amount,interest_rate,loan_grade,loan_term_days,debt_to_income_ratio,delinquencies_last_2yrs,public_records,revolving_utilization,total_credit_lines,is_default
8d6b7bc1-64ea-472f-bcaf-eb2aa3c0ecdb,48,9091.92,Hourly,High School,Uasin Gishu,0,3,0,0.9553257028079305,0.028533077706257348,False,16036.688815111618,3.7221388387600056,B,30,0.19152974554958838,0,0,0.0,14,False
82a1cd7f-31c7-49b4-94ef-9a9deadcc332,57,14046.93,Hourly,High School,Machakos,3,1,2,0.7938238812627756,0.1758577428373883,False,7784.892343029611,14.206617830181424,C,90,0.2474048824331351,0,0,0.21986768660495848,9,False
9a622af5-342f-47d2-bff1-05bd7617dd88,60,20660.47,Casual,Bachelors,Garissa,0,2,1,0.969269965207441,0.03881608759671215,False,53524.13633599525,8.738447298010087,A,90,0.0210855389814935,0,0,0.04026779662763832,18,False
829f4b42-c231-46b0-bfae-574a68350082,32,79820.64,Casual,Bachelors,Nairobi City,2,2,3,0.8143728370730329,0.1423504641586652,False,28132.47472874304,18.85350102826631,B,60,0.12570366858385656,1,0,0.2532397560040207,5,True
27172a13-5b15-43f5-b481-4393b965970f,32,38490.32,Self-Employed,PhD,Kajiado,6,11,24,0.18781457467244453,0.6663643698848384,True,18980.061245971126,28.965192978260166,F,14,0.4395784914491845,2,1,0.8373823876913202,22,True
9732821f-1294-4066-b1b8-d38f3afbf66f,60,79069.24,Self-Employed,High School,Mombasa,3,1,5,0.9114905744408146,0.28598340128248245,False,7832.123244857105,12.317593740812343,C,30,0.28825579708901616,1,0,0.061784738324295416,13,False
0394bbc8-c858-491a-98e0-be372f6909e9,37,27339.2,Casual,High School,Kirinyaga,1,1,3,0.8303617543097624,0.18893119722254584,False,49264.22619098112,12.601784824306007,D,90,0.12896328625760076,0,0,0.2605729073301385,5,True
f6749d61-30da-4832-a905-97e449a1ed3c,35,68436.1,Student,High School,Nairobi City,7,9,17,0.17344042523856418,0.8687980008549723,True,26360.80056144258,34.02539200659532,G,21,0.4031948685940957,4,2,0.8716705411299895,21,True
53c64bd3-04eb-46f4-ade2-ffde134c1a4a,40,71232.57,Self-Employed,Masters,Nairobi City,1,4,0,1.0,0.08329402638697218,False,30173.91470058836,13.886746457531661,A,14,0.17640746092852153,1,0,0.09477805361354963,13,False
ccb3c5fe-309e-40ca-8a8f-bdf09b705569,49,46086.27,Casual,Bachelors,Nakuru,3,4,2,0.8647828858142989,0.21169435716034832,False,44311.97285855715,24.520455216268324,B,90,0.18847977361604995,0,0,0.1784674447612471,3,False
adb2c079-5530-450c-bc43-268a04e77bab,62,26873.07,Employed,PhD,Kisii,4,5,6,0.48669175922926355,0.47548359874554674,False,16183.066192539147,27.991835511766098,E,14,0.43393640227014835,0,1,0.3389799147114657,16,True
cf0b2bee-8327-40e8-8ff9-c581ab6d983a,22,88153.85,Employed,Masters,Mombasa,3,3,2,0.7842095877540717,0.19504698327695633,False,19605.37524410123,15.930412134826804,B,30,0.24370236541519694,0,0,0.2604999729857375,12,False
d6fc007f-b116-476f-9423-b98e6407d054,50,7330.2,Employed,Masters,Turkana,3,16,24,0.28731993772463116,0.9257587535930796,True,10033.982558105083,26.499478465314866,F,21,0.6071275047035074,5,0,0.693689904370263,19,True
d4a24e9d-6b54-4df1-a8c2-73f7f0053675,38,83841.12,Unemployed,PhD,Nakuru,0,1,0,0.9300533744425485,0.16731590442707814,False,23426.4004874977,3.2505880252998365,A,90,0.10799964726039848,0,0,0.0928330089761571,20,False
777f4e36-2258-4bd8-9c25-62893568aeae,51,73508.29,Hourly,Masters,Nairobi City,1,1,2,0.8647947921522618,0.07994250268511069,False,38097.38568904094,17.8681604095115,B,30,0.17628619507571486,0,0,0.12245424339848691,10,False
675bbbc5-e7f1-44b4-b6c5-9a041e20c006,22,14707.76,Student,High School,Nakuru,1,2,5,0.4323161950192271,0.3783112839115917,True,10456.294022846116,23.30633656841977,D,28,0.2430600633601699,0,0,0.3361413582544177,7,True
7ba22e8b-ec63-4c4e-8781-c78193141f7d,30,16136.6,Employed,Masters,Nairobi City,1,1,2,0.9756539697433386,0.10267821333532003,False,46917.174719038216,21.211258469426586,D,21,0.28355228597973003,1,0,0.030912199211689653,6,True
ff6c6dc0-b150-4d78-98b6-5150dfa746d9,26,5768.08,Self-Employed,Bachelors,Kisumu,1,2,2,0.927696198266803,0.20469708606856402,False,44126.8337378423,24.831293935369978,D,30,0.19575157858970463,0,0,0.1599001755661577,12,False
4d3bc96a-2a6c-4e6d-b32a-15d5089cf484,32,63808.77,Casual,Bachelors,Nairobi City,1,1,3,0.9640476503430282,0.2526655998731961,False,26845.761273419306,11.212178122379921,B,30,0.1355338255218459,0,0,0.11678508302033393,10,False
0ec29783-6270-44ff-b575-b2eafe8b0a41,32,15464.39,Casual,PhD,Bungoma,3,5,7,0.6491763388180356,0.5018370816065243,False,9208.495534861704,26.421575296091277,D,60,0.26890948350682087,0,1,0.42006169277133915,12,True
2a83cf14-a67a-4cba-85d0-b6a40712a7ce,48,21138.04,Student,Masters,Kisumu,2,5,5,0.6598326596184584,0.6610441138635739,True,12051.982724732934,15.635410568344543,D,28,0.39816895822563253,1,1,0.4293268691304498,13,False
b18d9cf6-2a7b-45c5-bf7d-c01493e0245c,29,26720.09,Self-Employed,Masters,Tharaka-Nithi,1,1,2,0.7844061267132998,0.11177057151757432,False,43815.98744597158,10.709429635259077,C,28,0.21242268870717682,0,0,0.03753589492139703,12,False
7ff928b0-c506-4785-b26b-8b96965f5135,51,75672.5,Casual,High School,Kisumu,0,1,0,0.9114922888457713,0.08476337073935238,False,66544.30437786548,13.289801800886629,A,60,0.19137149322959096,0,0,0.05443211959401295,5,False
4328860e-f3fa-40f1-aac9-1f85e80bddc3,51,94554.66,Student,Masters,Nairobi City,2,3,1,0.8280931778973958,0.2669603859394413,False,35599.27012123757,17.036419766371477,A,60,0.34425882957147,0,0,0.23509640065203807,10,False
3c82ffad-e55c-4e1e-8481-34178e3e2c6e,32,97003.62,Self-Employed,High School,Mombasa,7,11,10,0.33125583793090835,0.8578104410062838,False,21713.050857395698,33.976951099021406,G,7,0.5580240126293894,2,2,0.8895214015290717,22,True
86c6844e-6cc7-473f-84a2-fe52fbb9c96a,27,13128.99,Hourly,Bachelors,Nakuru,7,13,32,0.37995765272142407,0.8169544417888077,False,14631.911898377488,37.115697727313346,F,14,0.46622433809634684,2,2,0.8570662870766347,14,True
4775506f-41e0-4cd2-935a-8650b9683c84,30,27928.1,Casual,PhD,Marsabit,1,1,2,0.8940869284016989,0.1710076614607044,False,16680.468700613816,7.346210111059903,A,30,0.020520308504907415,0,0,0.0,10,False
9990f3bd-037b-4766-b0e9-fa0df83393c0,29,74685.59,Self-Employed,High School,Nairobi City,2,1,2,0.6802672405507492,0.06395907414025778,False,20406.64658452219,13.69642623127623,C,28,0.1291588271083027,0,0,0.12323184031176293,12,False
fe0b6479-0bdd-46b9-ac2c-8851a7ccf5c6,24,96914.04,Unemployed,High School,Eldoret,2,1,0,0.9894860272058953,0.16571149164631785,False,8170.188780313778,15.18028656927653,A,90,0.15288906957665743,0,0,0.05097674686596933,5,False
a4869750-0408-4e8a-ab76-307365d083c2,37,25214.97,Casual,Bachelors,Nairobi City,1,1,3,0.9432977323818537,0.13451561635848236,False,43584.59423793708,9.636613196183887,A,30,0.11316729172037188,0,0,0.006482578654995887,5,True
a8dea76e-cfe0-4cba-a1ec-38f7e9ffa525,55,93841.6,Student,Bachelors,Nakuru,5,4,6,0.6293772056900171,0.6241369918157517,True,17750.978769775626,23.2015855389567,E,14,0.28385722249659284,0,0,0.4571476549482723,12,False
7f0e1dd9-f53f-4d9e-8977-852db1ccf111,39,24428.66,Casual,Bachelors,Mombasa,0,2,2,0.9237927416826732,0.1190968921010019,False,18920.61501469086,18.093846904228375,C,21,0.29828455890770056,0,0,0.12833424141351776,5,False
